"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U5,U8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"210";;;
2;"U2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"115k";;;
3;"U14,U6";"CP_Radial_D18.0mm_P7.50mm";2;"2200";;;
4;"U9";"DIP-4_W7.62mm";1;"Oprocoupler";;;
5;"U11";"D_5W_P12.70mm_Horizontal";1;"D";;;
6;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
7;"U10";"TO-220-3_Vertical";1;"N channel";;;
8;"R1";"TO-220-2_Vertical";1;"50";;;
9;"U3";"TO-220-3_Vertical";1;"BSP89";;;
10;"U4";"DIP-4_W7.62mm";1;"Optocoupler";;;
11;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"90k";;;
12;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
13;"U1,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"30k";;;
14;"U12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
15;"U7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
16;"U13";"Pads_1x02";1;"Conn_01x02";;;
